User Link,Reputation
"764846","35566"
"485076","35550"
"84201","35548"
"653230","35526"
"27528","35504"
"783681","35481"
"2041092","35447"
"188031","35445"
"74815","35425"
"246461","35423"
"1400768","35402"
"656769","35398"
"52249","35369"
"1906307","35357"
"3016153","35344"
"375232","35336"
"36687","35318"
"17964","35287"
"1237","35250"
"196561","35239"
"244353","35217"
"589259","35197"
"5171","35172"
"373025","35168"
"235825","35154"
"479989","35153"
"788207","35138"
"11343","35116"
"2443","35114"
"951890","35081"
"13673","35078"
"769265","35043"
"845092","35036"
"555384","35019"
"58088","35003"
"422","34996"
"154152","34975"
"7585","34936"
"1064245","34932"
"781792","34930"
"1280410","34903"
"287047","34898"
"399317","34881"
"772649","34877"
"127479","34863"
"4596","34848"
"194940","34822"
"1395941","34799"
"256138","34789"
"280598","34788"
"1783619","34720"
"277176","34715"
"479512","34654"
"1104384","34642"
"4465","34615"
"1714410","34577"
"136208","34575"
"17410","34565"
"399815","34555"
"1039843","34554"
"27204","34547"
"117362","34540"
"1790","34472"
"1679602","34466"
"51831","34455"
"14069","34347"
"1073107","34326"
"608157","34317"
"1333025","34308"
"385478","34296"
"953482","34288"
"277304","34287"
"524555","34274"
"31158","34261"
"613430","34255"
"3030305","34246"
"1898","34203"
"984421","34200"
"86622","34194"
"1317935","34181"
"466826","34174"
"572743","34149"
"62055","34147"
"265570","34137"
"483349","34131"
"463115","34130"
"1095616","34122"
"6210","34117"
"1711796","34114"
"489564","34114"
"1090079","34113"
"201725","34112"
"35136","34100"
"12089","34099"
"3820","34070"
"401728","34067"
"1631379","34062"
"118145","34045"
"120292","34014"
"380487","33975"
"1908","33968"
"242933","33957"
"8946","33937"
"9567","33923"
"47984","33904"
"49246","33891"
"353790","33878"
"1331430","33876"
"703717","33853"
"245706","33845"
"3978","33843"
"11834","33818"
"192810","33813"
"37020","33736"
"44765","33735"
"449856","33709"
"297696","33701"
"467473","33677"
"11492","33677"
"514235","33675"
"41761","33665"
"1033808","33658"
"45654","33656"
"11858","33637"
"308661","33614"
"15124","33601"
"1235698","33598"
"57752","33575"
"608772","33573"
"187291","33570"
"363881","33561"
"1652962","33543"
"1967396","33541"
"11568","33537"
"49658","33531"
"617839","33529"
"1673391","33498"
"4893","33496"
"797049","33486"
"95313","33473"
"6742","33471"
"777186","33450"
"166538","33432"
"609251","33428"
"30674","33417"
"1631193","33402"
"47886","33395"
"44269","33391"
"165673","33369"
"488241","33321"
"1517578","33271"
"179736","33268"
"635981","33249"
"711085","33241"
"418413","33223"
"83667","33218"
"510937","33214"
"4918","33213"
"962089","33203"
"34824","33202"
"1002323","33185"
"413337","33168"
"604015","33153"
"235654","33143"
"308315","33138"
"1586880","33131"
"421018","33109"
"91757","33108"
"10174","33096"
"34855","33070"
"184600","33055"
"48003","33051"
"294972","33048"
"365814","33025"
"878126","33017"
"23368","33017"
"269476","33015"
"945847","33006"
"641067","32987"
"162396","32986"
"247985","32982"
"55351","32941"
"108796","32910"
"376535","32900"
"32133","32897"
"89817","32895"
"186636","32893"
"1060350","32882"
"260127","32873"
"1413395","32852"
"1622493","32848"
"275567","32845"
"476681","32839"
"21709","32789"
"10077","32785"
"787016","32784"
"1060","32782"
"1256624","32749"
"1097181","32745"
"1190388","32741"
"46395","32732"
"3834","32729"
"106979","32722"
"33796","32706"
"180368","32704"
"359040","32666"
"44729","32665"
"295508","32631"
"294949","32630"
"496803","32625"
"42304","32596"
"143972","32590"
"415635","32587"
"784338","32583"
"382818","32573"
"114994","32567"
"3218114","32560"
"110026","32553"
"236465","32544"
"313758","32543"
"168493","32516"
"181965","32490"
"189416","32478"
"3712","32452"
"56018","32449"
"1585","32438"
"854246","32436"
"16287","32416"
"147019","32412"
"107660","32405"
"1310","32400"
"338","32379"
"697449","32378"
"139300","32361"
"168288","32354"
"328445","32343"
"31136","32336"
"217288","32336"
"952747","32335"
"18243","32329"
"340760","32310"
"1301972","32305"
"1081110","32304"
"728795","32290"
"634025","32281"
"67168","32278"
"182676","32275"
"167614","32268"
"74939","32267"
"522663","32250"
"13989","32247"
"533120","32230"
"3201","32225"
"743214","32191"
"574168","32183"
"853360","32179"
"59541","32175"
